timestamp,mem_used_mib,mem_total_mib,util_pct,power_w
2026/07/11 09:38:18.629,0,97871,0,88.52
2026/07/11 09:38:48.653,0,97871,0,88.75
2026/07/11 09:39:18.669,0,97871,0,88.77
2026/07/11 09:39:48.690,0,97871,0,88.82
2026/07/11 09:40:18.706,3,97871,0,88.76
2026/07/11 09:40:48.726,2682,97871,0,134.31
2026/07/11 09:41:18.742,2682,97871,0,135.00
2026/07/11 09:41:48.761,14186,97871,0,135.17
2026/07/11 09:42:18.783,14220,97871,0,135.91
2026/07/11 09:42:48.806,14994,97871,0,135.99
2026/07/11 09:43:18.822,22548,97871,4,135.90
2026/07/11 09:43:48.836,26561,97871,4,135.60
2026/07/11 09:44:18.857,26555,97871,4,135.90
2026/07/11 09:44:48.877,36686,97871,0,135.75
2026/07/11 09:45:18.893,50645,97871,100,516.46
2026/07/11 09:45:48.907,50642,97871,100,613.31
2026/07/11 09:46:18.925,50639,97871,100,779.09
2026/07/11 09:46:48.943,60757,97871,100,758.81
2026/07/11 09:47:18.962,60753,97871,100,780.71
2026/07/11 09:47:48.982,60749,97871,100,781.58
2026/07/11 09:48:19.000,60747,97871,99,598.80
2026/07/11 09:48:49.016,96943,97871,0,146.50
2026/07/11 09:49:19.032,96938,97871,0,140.33
2026/07/11 09:49:49.048,96932,97871,0,139.34
2026/07/11 09:50:19.064,96928,97871,0,138.15
2026/07/11 09:50:49.081,96924,97871,0,137.36
2026/07/11 09:51:19.098,96920,97871,0,137.14
2026/07/11 09:51:49.114,544,97871,0,89.82
2026/07/11 09:52:19.132,539,97871,0,89.97
2026/07/11 09:52:49.148,536,97871,0,89.52
2026/07/11 09:53:19.165,530,97871,0,89.64
2026/07/11 09:53:49.180,527,97871,0,89.07
2026/07/11 09:54:19.197,525,97871,0,89.17
2026/07/11 09:54:49.212,523,97871,0,89.38
2026/07/11 09:55:19.233,522,97871,0,89.30
2026/07/11 09:55:49.249,520,97871,0,89.28
2026/07/11 09:56:19.265,518,97871,0,88.85
2026/07/11 09:56:49.283,516,97871,0,89.05
2026/07/11 09:57:19.300,514,97871,0,89.06
2026/07/11 09:57:49.315,513,97871,0,88.87
2026/07/11 09:58:19.333,511,97871,0,89.04
2026/07/11 09:58:49.348,509,97871,0,89.13
2026/07/11 09:59:19.370,507,97871,0,89.00
2026/07/11 09:59:49.400,506,97871,0,89.18
2026/07/11 10:00:19.416,504,97871,0,88.97
2026/07/11 10:00:49.433,502,97871,0,88.76
2026/07/11 10:01:19.449,501,97871,0,88.84
2026/07/11 10:01:49.465,500,97871,0,88.92
2026/07/11 10:02:19.485,499,97871,0,88.91
2026/07/11 10:02:49.506,498,97871,0,89.00
2026/07/11 10:03:19.522,497,97871,0,88.85
2026/07/11 10:03:49.538,497,97871,0,88.96
2026/07/11 10:04:19.555,3179,97871,0,136.28
2026/07/11 10:04:49.569,3179,97871,0,135.36
2026/07/11 10:05:19.586,14783,97871,0,135.70
2026/07/11 10:05:49.601,15322,97871,0,136.15
2026/07/11 10:06:19.625,15636,97871,0,137.19
2026/07/11 10:06:49.641,24450,97871,4,135.60
2026/07/11 10:07:19.658,24446,97871,4,135.76
2026/07/11 10:07:49.673,29868,97871,100,140.26
2026/07/11 10:08:19.690,32802,97871,0,136.33
2026/07/11 10:08:49.705,1347,97871,0,89.49
2026/07/11 10:09:19.723,1343,97871,0,89.36
2026/07/11 10:09:49.739,1341,97871,0,89.46
2026/07/11 10:10:19.757,1338,97871,0,89.18
2026/07/11 10:10:49.772,1336,97871,0,89.12
2026/07/11 10:11:19.791,1333,97871,0,89.34
2026/07/11 10:11:49.805,4011,97871,0,134.61
2026/07/11 10:12:19.822,1327,97871,0,89.28
2026/07/11 10:12:49.838,1325,97871,0,89.05
2026/07/11 10:13:19.857,1324,97871,0,89.36
2026/07/11 10:13:49.872,4000,97871,0,134.90
2026/07/11 10:14:19.891,3998,97871,0,135.86
2026/07/11 10:14:49.906,15599,97871,0,136.01
2026/07/11 10:15:19.927,15798,97871,0,135.91
2026/07/11 10:15:49.968,16705,97871,0,136.25
2026/07/11 10:16:19.990,25243,97871,4,135.58
2026/07/11 10:16:50.009,25237,97871,4,136.32
2026/07/11 10:17:20.026,2127,97871,0,89.93
2026/07/11 10:17:50.043,5417,97871,0,135.28
2026/07/11 10:18:20.061,6001,97871,0,135.52
2026/07/11 10:18:50.077,5996,97871,0,137.21
2026/07/11 10:19:20.093,22745,97871,100,844.52
2026/07/11 10:19:50.109,22740,97871,74,826.07
2026/07/11 10:20:20.127,28280,97871,99,830.52
2026/07/11 10:20:50.145,29560,97871,88,524.22
2026/07/11 10:21:20.165,29555,97871,100,831.59
2026/07/11 10:21:50.182,29550,97871,100,834.65
2026/07/11 10:22:20.202,29546,97871,100,833.84
2026/07/11 10:22:50.219,29582,97871,100,848.38
2026/07/11 10:23:20.239,29578,97871,100,704.66
2026/07/11 10:23:50.255,29575,97871,100,847.63
2026/07/11 10:24:20.278,29572,97871,100,834.77
2026/07/11 10:24:50.294,29569,97871,100,837.44
2026/07/11 10:25:20.313,29566,97871,100,834.17
2026/07/11 10:25:50.331,29563,97871,100,836.95
2026/07/11 10:26:20.350,29560,97871,88,846.94
2026/07/11 10:26:50.366,29558,97871,100,840.78
2026/07/11 10:27:20.387,29555,97871,100,845.96
2026/07/11 10:27:50.402,29552,97871,100,836.15
2026/07/11 10:28:20.424,29549,97871,100,837.87
2026/07/11 10:28:50.441,29546,97871,85,832.62
2026/07/11 10:29:20.461,29543,97871,99,846.94
2026/07/11 10:29:50.477,29540,97871,100,843.46
2026/07/11 10:30:20.497,29536,97871,100,834.41
2026/07/11 10:30:50.514,29533,97871,99,837.01
2026/07/11 10:31:20.533,29530,97871,100,847.97
2026/07/11 10:31:50.549,29526,97871,100,706.58
2026/07/11 10:32:20.569,29523,97871,100,834.23
2026/07/11 10:32:50.587,29521,97871,100,847.72
2026/07/11 10:33:20.607,29517,97871,100,836.29
2026/07/11 10:33:50.623,29514,97871,100,834.57
2026/07/11 10:34:20.644,29511,97871,0,146.52
2026/07/11 10:34:50.660,29509,97871,74,831.47
2026/07/11 10:35:20.681,29506,97871,100,830.30
2026/07/11 10:35:50.697,29503,97871,100,852.36
2026/07/11 10:36:20.720,29500,97871,99,834.87
2026/07/11 10:36:50.736,29497,97871,100,850.34
2026/07/11 10:37:20.757,29495,97871,100,833.81
2026/07/11 10:37:50.773,29494,97871,100,832.31
2026/07/11 10:38:20.793,29494,97871,100,831.34
2026/07/11 10:38:50.809,29493,97871,100,848.78
2026/07/11 10:39:20.830,29493,97871,100,834.91
2026/07/11 10:39:50.846,29493,97871,100,836.90
2026/07/11 10:40:20.867,29493,97871,100,846.94
2026/07/11 10:40:50.883,29492,97871,100,837.26
2026/07/11 10:41:20.904,29492,97871,100,701.45
2026/07/11 10:41:50.925,29492,97871,100,832.71
2026/07/11 10:42:20.944,29492,97871,99,831.29
2026/07/11 10:42:50.964,29491,97871,100,849.65
2026/07/11 10:43:20.986,29491,97871,100,832.06
2026/07/11 10:43:51.006,29491,97871,100,848.29
2026/07/11 10:44:21.027,29491,97871,100,831.67
2026/07/11 10:44:51.042,29491,97871,100,850.47
2026/07/11 10:45:21.062,29490,97871,100,849.32
2026/07/11 10:45:51.080,29490,97871,100,830.99
2026/07/11 10:46:21.099,29490,97871,100,830.90
2026/07/11 10:46:51.121,29489,97871,79,832.14
2026/07/11 10:47:21.142,29489,97871,100,806.08
2026/07/11 10:47:51.161,29489,97871,100,849.73
2026/07/11 10:48:21.180,29489,97871,78,835.46
2026/07/11 10:48:51.196,29489,97871,100,835.80
2026/07/11 10:49:21.217,29489,97871,100,836.12
2026/07/11 10:49:51.234,29489,97871,0,143.36
2026/07/11 10:50:21.254,29489,97871,100,829.11
2026/07/11 10:50:51.273,29489,97871,100,704.15
2026/07/11 10:51:21.293,29489,97871,100,835.04
2026/07/11 10:51:51.310,29488,97871,100,846.47
2026/07/11 10:52:21.330,29488,97871,100,849.03
2026/07/11 10:52:51.353,29488,97871,100,832.66
2026/07/11 10:53:21.373,29487,97871,100,845.50
2026/07/11 10:53:51.391,29487,97871,100,835.03
2026/07/11 10:54:21.410,29487,97871,100,839.83
2026/07/11 10:54:51.427,29487,97871,100,833.30
2026/07/11 10:55:21.448,29487,97871,100,842.59
2026/07/11 10:55:51.464,29487,97871,100,849.12
2026/07/11 10:56:21.486,29487,97871,100,832.82
2026/07/11 10:56:51.503,29486,97871,90,839.68
2026/07/11 10:57:21.524,29486,97871,100,831.25
2026/07/11 10:57:51.543,29486,97871,100,849.15
