timestamp,mem_used_mib,mem_total_mib,util_pct,power_w
2026/07/16 08:40:20.774,7,97871,0,64.25
2026/07/16 08:40:50.800,7,97871,0,63.96
2026/07/16 08:41:20.816,7,97871,0,64.12
2026/07/16 08:41:50.836,7,97871,0,64.22
2026/07/16 08:42:20.858,7,97871,0,64.16
2026/07/16 08:42:50.880,7,97871,0,64.35
2026/07/16 08:43:20.895,7,97871,0,64.42
2026/07/16 08:43:50.916,7,97871,0,64.55
2026/07/16 08:44:20.932,7,97871,0,64.54
2026/07/16 08:44:50.955,7,97871,0,64.49
2026/07/16 08:45:20.970,7,97871,0,64.50
2026/07/16 08:45:50.992,7,97871,0,64.49
2026/07/16 08:46:21.006,7,97871,0,64.29
2026/07/16 08:46:51.025,1812,97871,0,109.00
2026/07/16 08:47:21.043,3526,97871,0,288.35
2026/07/16 08:47:51.062,3527,97871,0,111.92
2026/07/16 08:48:21.078,3527,97871,0,112.64
2026/07/16 08:48:51.099,3527,97871,0,112.68
2026/07/16 08:49:21.115,3527,97871,0,113.88
2026/07/16 08:49:51.133,3527,97871,0,288.05
2026/07/16 08:50:21.150,3526,97871,0,113.84
2026/07/16 08:50:51.169,3526,97871,0,114.23
2026/07/16 08:51:21.186,3526,97871,0,114.05
2026/07/16 08:51:51.204,3526,97871,0,113.63
2026/07/16 08:52:21.220,3526,97871,0,115.39
2026/07/16 08:52:51.240,3526,97871,0,114.57
2026/07/16 08:53:21.256,3526,97871,0,114.53
2026/07/16 08:53:51.275,3526,97871,0,114.34
2026/07/16 08:54:21.291,3526,97871,0,114.17
2026/07/16 08:54:51.310,3526,97871,0,116.03
2026/07/16 08:55:21.328,3526,97871,0,114.33
2026/07/16 08:55:51.348,3526,97871,0,114.40
2026/07/16 08:56:21.365,3526,97871,0,113.83
2026/07/16 08:56:51.384,3526,97871,0,113.83
2026/07/16 08:57:21.400,3526,97871,0,113.31
2026/07/16 08:57:51.422,3526,97871,0,113.93
2026/07/16 08:58:21.439,3526,97871,0,114.00
2026/07/16 08:58:51.461,3526,97871,82,232.25
2026/07/16 08:59:21.486,3526,97871,0,114.10
2026/07/16 08:59:51.513,3526,97871,0,114.15
2026/07/16 09:00:21.530,3525,97871,0,113.87
2026/07/16 09:00:51.548,1813,97871,3,78.32
2026/07/16 09:01:21.567,3526,97871,0,114.96
2026/07/16 09:01:51.586,3524,97871,100,494.98
2026/07/16 09:02:21.603,3523,97871,0,513.68
2026/07/16 09:02:51.623,3521,97871,0,504.04
2026/07/16 09:03:21.640,3521,97871,100,408.83
2026/07/16 09:03:51.660,3521,97871,0,114.54
2026/07/16 09:04:21.677,3521,97871,0,487.03
2026/07/16 09:04:51.696,3521,97871,0,114.54
2026/07/16 09:05:21.716,3521,97871,0,114.47
2026/07/16 09:05:51.736,3521,97871,100,371.63
2026/07/16 09:06:21.754,3521,97871,0,300.15
2026/07/16 09:06:51.774,3521,97871,100,402.99
2026/07/16 09:07:21.792,3521,97871,0,114.08
2026/07/16 09:07:51.812,3521,97871,0,114.08
2026/07/16 09:08:21.828,3521,97871,0,114.45
2026/07/16 09:08:51.854,3521,97871,0,252.83
2026/07/16 09:09:21.870,3521,97871,0,117.03
2026/07/16 09:09:51.889,3521,97871,0,115.15
2026/07/16 09:10:21.905,3521,97871,0,114.13
2026/07/16 09:10:51.925,3521,97871,0,114.75
2026/07/16 09:11:21.941,3521,97871,0,115.15
2026/07/16 09:11:51.962,3521,97871,0,114.27
2026/07/16 09:12:21.978,3521,97871,0,115.67
2026/07/16 09:12:52.001,2,97871,0,67.49
2026/07/16 09:13:22.019,2,97871,0,66.84
2026/07/16 09:13:52.041,2,97871,0,66.18
2026/07/16 09:14:22.059,2,97871,0,66.08
2026/07/16 09:14:52.080,2,97871,0,65.58
2026/07/16 09:15:22.099,2,97871,0,65.21
2026/07/16 09:15:52.120,2,97871,0,65.20
2026/07/16 09:16:22.138,2,97871,0,65.20
2026/07/16 09:16:52.162,2,97871,0,64.76
2026/07/16 09:17:22.180,2,97871,0,64.64
2026/07/16 09:17:52.202,2,97871,0,64.53
2026/07/16 09:18:22.220,2,97871,0,64.46
2026/07/16 09:18:52.242,2,97871,0,64.72
2026/07/16 09:19:22.260,2,97871,0,64.77
2026/07/16 09:19:52.282,2,97871,0,64.67
2026/07/16 09:20:22.303,2,97871,0,64.44
2026/07/16 09:20:52.326,2,97871,0,64.59
2026/07/16 09:21:22.344,4,97871,0,64.96
2026/07/16 09:21:52.362,2683,97871,0,109.16
2026/07/16 09:22:22.380,2683,97871,0,110.21
2026/07/16 09:22:52.403,14426,97871,0,111.09
2026/07/16 09:23:22.421,25514,97871,1,112.27
2026/07/16 09:23:52.442,64289,97871,0,112.87
2026/07/16 09:24:22.462,66692,97871,100,115.46
2026/07/16 09:24:52.480,66691,97871,100,115.58
2026/07/16 09:25:22.498,66689,97871,100,115.79
2026/07/16 09:25:52.520,66689,97871,0,111.86
2026/07/16 09:26:22.537,92782,97871,78,257.10
2026/07/16 09:26:52.554,92399,97871,93,338.96
2026/07/16 09:27:22.581,68688,97871,94,604.41
2026/07/16 09:27:52.597,69667,97871,100,767.17
2026/07/16 09:28:22.618,89830,97871,93,557.02
2026/07/16 09:28:52.635,68929,97871,99,628.75
2026/07/16 09:29:22.661,69909,97871,100,710.05
