timestamp,mem_used_mib,mem_total_mib,util_pct,power_w
2026/07/11 09:38:18.348,5,97871,0,82.83
2026/07/11 09:38:48.372,5,97871,0,83.04
2026/07/11 09:39:18.389,5,97871,0,82.86
2026/07/11 09:39:48.408,4,97871,0,83.11
2026/07/11 09:40:18.423,5,97871,0,83.20
2026/07/11 09:40:48.442,2682,97871,0,128.14
2026/07/11 09:41:18.455,2682,97871,0,128.85
2026/07/11 09:41:48.474,14186,97871,0,128.99
2026/07/11 09:42:18.489,14206,97871,0,129.91
2026/07/11 09:42:48.532,14799,97871,0,129.73
2026/07/11 09:43:18.546,22366,97871,4,129.24
2026/07/11 09:43:48.566,26383,97871,4,129.93
2026/07/11 09:44:18.582,26381,97871,4,129.90
2026/07/11 09:44:48.601,36534,97871,0,133.23
2026/07/11 09:45:18.615,50496,97871,100,504.42
2026/07/11 09:45:48.635,50494,97871,100,595.10
2026/07/11 09:46:18.651,50492,97871,100,568.20
2026/07/11 09:46:48.673,60611,97871,100,789.75
2026/07/11 09:47:18.690,60609,97871,100,786.52
2026/07/11 09:47:48.712,60607,97871,100,812.94
2026/07/11 09:48:18.728,60607,97871,99,442.40
2026/07/11 09:48:48.749,97255,97871,0,138.47
2026/07/11 09:49:18.770,411,97871,0,84.84
2026/07/11 09:49:48.788,409,97871,0,84.12
2026/07/11 09:50:18.806,407,97871,0,83.33
2026/07/11 09:50:48.823,405,97871,0,82.87
2026/07/11 09:51:18.839,402,97871,0,82.67
2026/07/11 09:51:48.859,401,97871,0,83.00
2026/07/11 09:52:18.886,400,97871,0,83.16
2026/07/11 09:52:48.904,400,97871,0,82.92
2026/07/11 09:53:18.923,396,97871,0,83.23
2026/07/11 09:53:48.955,395,97871,0,83.22
2026/07/11 09:54:18.970,394,97871,0,82.78
2026/07/11 09:54:48.990,393,97871,0,83.00
2026/07/11 09:55:19.006,392,97871,0,82.85
2026/07/11 09:55:49.025,391,97871,0,82.95
2026/07/11 09:56:19.042,390,97871,0,82.86
2026/07/11 09:56:49.060,390,97871,0,83.01
2026/07/11 09:57:19.076,389,97871,0,82.85
2026/07/11 09:57:49.094,388,97871,0,83.10
2026/07/11 09:58:19.110,388,97871,0,83.16
2026/07/11 09:58:49.128,388,97871,0,82.97
2026/07/11 09:59:19.144,388,97871,0,82.81
2026/07/11 09:59:49.162,388,97871,0,83.07
2026/07/11 10:00:19.177,388,97871,0,82.99
2026/07/11 10:00:49.196,388,97871,0,82.86
2026/07/11 10:01:19.211,388,97871,0,83.01
2026/07/11 10:01:49.230,388,97871,0,83.03
2026/07/11 10:02:19.245,388,97871,0,83.09
2026/07/11 10:02:49.265,388,97871,0,82.96
2026/07/11 10:03:19.280,388,97871,0,83.02
2026/07/11 10:03:49.298,388,97871,0,82.93
2026/07/11 10:04:19.313,3070,97871,0,128.55
2026/07/11 10:04:49.331,3070,97871,0,128.66
2026/07/11 10:05:19.346,14674,97871,1,129.00
2026/07/11 10:05:49.367,15146,97871,0,129.03
2026/07/11 10:06:19.394,15235,97871,0,129.85
2026/07/11 10:06:49.413,24051,97871,4,128.70
2026/07/11 10:07:19.427,24049,97871,4,129.53
2026/07/11 10:07:49.451,24045,97871,4,129.27
2026/07/11 10:08:19.466,32404,97871,0,128.85
2026/07/11 10:08:49.485,948,97871,0,83.06
2026/07/11 10:09:19.501,945,97871,0,83.05
2026/07/11 10:09:49.519,943,97871,0,83.06
2026/07/11 10:10:19.534,940,97871,0,82.81
2026/07/11 10:10:49.553,938,97871,0,82.97
2026/07/11 10:11:19.571,934,97871,0,82.92
2026/07/11 10:11:49.587,3612,97871,0,128.74
2026/07/11 10:12:19.602,929,97871,0,82.99
2026/07/11 10:12:49.622,928,97871,0,82.83
2026/07/11 10:13:19.640,927,97871,0,82.75
2026/07/11 10:13:49.659,3607,97871,0,127.96
2026/07/11 10:14:19.674,3606,97871,0,128.88
2026/07/11 10:14:49.695,15209,97871,0,129.43
2026/07/11 10:15:19.710,15421,97871,0,129.12
2026/07/11 10:15:49.749,15805,97871,1,129.35
2026/07/11 10:16:19.764,24556,97871,4,128.43
2026/07/11 10:16:49.784,24549,97871,4,128.93
2026/07/11 10:17:19.801,1440,97871,0,83.34
2026/07/11 10:17:49.819,4730,97871,0,130.58
2026/07/11 10:18:19.834,5315,97871,0,130.62
2026/07/11 10:18:49.852,5313,97871,0,130.90
2026/07/11 10:19:19.867,22066,97871,100,827.22
2026/07/11 10:19:49.887,26646,97871,100,731.49
2026/07/11 10:20:19.904,27607,97871,99,834.86
2026/07/11 10:20:49.922,28893,97871,100,831.11
2026/07/11 10:21:19.937,28890,97871,100,835.36
2026/07/11 10:21:49.955,28888,97871,100,845.30
2026/07/11 10:22:19.971,28886,97871,100,847.44
2026/07/11 10:22:49.989,28925,97871,100,833.57
2026/07/11 10:23:20.005,28924,97871,100,842.81
2026/07/11 10:23:50.025,28923,97871,100,845.28
2026/07/11 10:24:20.045,28922,97871,100,837.19
2026/07/11 10:24:50.066,28921,97871,100,829.23
2026/07/11 10:25:20.082,28919,97871,100,848.68
2026/07/11 10:25:50.101,28918,97871,100,719.38
2026/07/11 10:26:20.120,28917,97871,100,839.25
2026/07/11 10:26:50.139,28916,97871,100,848.74
2026/07/11 10:27:20.156,28916,97871,100,846.97
2026/07/11 10:27:50.176,28916,97871,100,833.60
2026/07/11 10:28:20.193,28915,97871,100,829.19
2026/07/11 10:28:50.210,28915,97871,100,832.43
2026/07/11 10:29:20.227,28915,97871,100,843.22
2026/07/11 10:29:50.245,28915,97871,100,846.69
2026/07/11 10:30:20.267,28915,97871,100,834.67
2026/07/11 10:30:50.285,28915,97871,100,838.46
2026/07/11 10:31:20.302,28915,97871,100,829.19
2026/07/11 10:31:50.321,28915,97871,100,725.29
2026/07/11 10:32:20.339,28915,97871,100,844.43
2026/07/11 10:32:50.357,28915,97871,100,832.08
2026/07/11 10:33:20.377,28915,97871,100,836.47
2026/07/11 10:33:50.396,28915,97871,100,836.54
2026/07/11 10:34:20.418,28915,97871,0,140.74
2026/07/11 10:34:50.437,28915,97871,100,823.01
2026/07/11 10:35:20.455,28915,97871,100,836.27
2026/07/11 10:35:50.472,28915,97871,100,843.10
2026/07/11 10:36:20.490,28914,97871,100,737.88
2026/07/11 10:36:50.508,28914,97871,100,835.01
2026/07/11 10:37:20.526,28914,97871,100,843.56
2026/07/11 10:37:50.544,28914,97871,100,848.70
2026/07/11 10:38:20.561,28914,97871,100,830.38
2026/07/11 10:38:50.581,28914,97871,100,733.53
2026/07/11 10:39:20.600,28914,97871,100,816.15
2026/07/11 10:39:50.618,28913,97871,100,836.08
2026/07/11 10:40:20.638,28913,97871,100,812.18
2026/07/11 10:40:50.657,28913,97871,100,831.74
2026/07/11 10:41:20.675,28912,97871,100,815.82
2026/07/11 10:41:50.693,28912,97871,100,804.11
2026/07/11 10:42:20.711,28912,97871,100,689.39
2026/07/11 10:42:50.729,28912,97871,100,820.64
2026/07/11 10:43:20.747,28912,97871,100,845.78
2026/07/11 10:43:50.765,28912,97871,99,832.80
2026/07/11 10:44:20.783,28911,97871,100,835.04
2026/07/11 10:44:50.802,28911,97871,100,813.58
2026/07/11 10:45:20.830,28911,97871,100,798.19
2026/07/11 10:45:50.848,28910,97871,100,837.45
2026/07/11 10:46:20.866,28910,97871,100,806.39
2026/07/11 10:46:50.884,28909,97871,100,834.69
2026/07/11 10:47:20.901,28908,97871,100,808.45
2026/07/11 10:47:50.920,28907,97871,100,830.20
2026/07/11 10:48:20.936,28907,97871,100,809.97
2026/07/11 10:48:50.954,28907,97871,100,835.36
2026/07/11 10:49:20.971,28907,97871,100,834.37
2026/07/11 10:49:50.988,28907,97871,100,827.64
2026/07/11 10:50:21.006,28907,97871,100,830.38
2026/07/11 10:50:51.024,28907,97871,100,833.71
2026/07/11 10:51:21.041,28907,97871,100,850.39
2026/07/11 10:51:51.058,28907,97871,100,848.52
2026/07/11 10:52:21.079,28907,97871,100,832.62
2026/07/11 10:52:51.097,28907,97871,53,665.46
2026/07/11 10:53:21.116,28907,97871,100,846.32
2026/07/11 10:53:51.133,28907,97871,100,835.33
2026/07/11 10:54:21.150,28907,97871,100,839.03
2026/07/11 10:54:51.169,28907,97871,100,841.25
2026/07/11 10:55:21.188,28907,97871,100,845.49
2026/07/11 10:55:51.205,28907,97871,100,837.55
2026/07/11 10:56:21.223,28907,97871,99,835.26
2026/07/11 10:56:51.243,28907,97871,100,838.06
2026/07/11 10:57:21.262,28907,97871,100,837.06
2026/07/11 10:57:51.281,28907,97871,100,844.66
2026/07/11 10:58:21.299,28907,97871,100,836.31
2026/07/11 10:58:51.317,28907,97871,63,591.11
2026/07/11 10:59:21.815,28907,97871,100,845.60
2026/07/11 10:59:51.833,28907,97871,100,840.83
2026/07/11 11:00:21.852,28907,97871,100,808.31
2026/07/11 11:00:51.870,28907,97871,100,832.82
2026/07/11 11:01:21.887,28907,97871,100,830.12
2026/07/11 11:01:51.907,28907,97871,100,846.82
2026/07/11 11:02:21.927,28907,97871,100,837.48
2026/07/11 11:02:51.949,28907,97871,100,834.00
2026/07/11 11:03:21.969,28907,97871,100,837.59
2026/07/11 11:03:51.991,28907,97871,100,843.18
2026/07/11 11:04:22.010,28907,97871,100,832.75
2026/07/11 11:04:52.029,28907,97871,100,725.60
2026/07/11 11:05:22.048,28907,97871,84,837.81
2026/07/11 11:05:52.069,28907,97871,0,133.94
2026/07/11 11:06:22.089,28907,97871,77,834.43
2026/07/11 11:06:52.107,28907,97871,100,846.43
2026/07/11 11:07:22.126,28907,97871,100,842.23
2026/07/11 11:07:52.147,28907,97871,100,834.26
2026/07/11 11:08:22.166,28907,97871,100,832.62
2026/07/11 11:08:52.186,28907,97871,100,847.73
2026/07/11 11:09:22.206,28907,97871,100,837.67
2026/07/11 11:09:52.226,28907,97871,100,836.62
2026/07/11 11:10:22.245,28907,97871,100,846.56
2026/07/11 11:10:52.263,28907,97871,100,852.63
2026/07/11 11:11:22.282,28907,97871,100,832.15
2026/07/11 11:11:52.300,28907,97871,100,718.98
2026/07/11 11:12:22.323,28907,97871,100,833.25
2026/07/11 11:12:52.342,28907,97871,100,845.49
2026/07/11 11:13:22.361,28907,97871,100,850.47
2026/07/11 11:13:52.379,28907,97871,100,834.13
2026/07/11 11:14:22.396,28907,97871,100,835.70
