timestamp,mem_used_mib,mem_total_mib,util_pct,power_w
2026/07/16 08:40:20.883,0,97871,0,83.51
2026/07/16 08:40:50.910,0,97871,0,83.63
2026/07/16 08:41:20.934,0,97871,0,83.70
2026/07/16 08:41:50.958,0,97871,0,83.78
2026/07/16 08:42:20.974,0,97871,0,83.90
2026/07/16 08:42:50.997,0,97871,0,83.98
2026/07/16 08:43:21.013,0,97871,0,83.96
2026/07/16 08:43:51.036,0,97871,0,83.94
2026/07/16 08:44:21.052,0,97871,0,83.79
2026/07/16 08:44:51.076,0,97871,0,83.75
2026/07/16 08:45:21.092,0,97871,0,83.93
2026/07/16 08:45:51.113,1806,97871,0,129.04
2026/07/16 08:46:21.130,3520,97871,0,130.39
2026/07/16 08:46:51.150,3520,97871,0,131.27
2026/07/16 08:47:21.166,3520,97871,0,131.62
2026/07/16 08:47:51.186,3520,97871,0,132.22
2026/07/16 08:48:21.203,3520,97871,0,511.61
2026/07/16 08:48:51.223,3520,97871,100,269.25
2026/07/16 08:49:21.248,3520,97871,100,392.35
2026/07/16 08:49:51.269,3520,97871,21,273.42
2026/07/16 08:50:21.287,3520,97871,0,132.35
2026/07/16 08:50:51.310,3520,97871,0,132.23
2026/07/16 08:51:21.328,3520,97871,100,368.92
2026/07/16 08:51:51.350,3520,97871,0,132.10
2026/07/16 08:52:21.367,3520,97871,0,131.88
2026/07/16 08:52:51.386,3520,97871,100,480.47
2026/07/16 08:53:21.404,3520,97871,0,133.02
2026/07/16 08:53:51.424,3520,97871,0,396.03
2026/07/16 08:54:21.442,3520,97871,0,134.41
2026/07/16 08:54:51.461,3520,97871,0,132.69
2026/07/16 08:55:21.480,3520,97871,0,131.77
2026/07/16 08:55:51.499,3520,97871,0,132.16
2026/07/16 08:56:21.517,3520,97871,0,131.87
2026/07/16 08:56:51.535,3522,97871,0,132.49
2026/07/16 08:57:21.552,3521,97871,0,131.66
2026/07/16 08:57:51.573,3521,97871,0,131.61
2026/07/16 08:58:21.590,3521,97871,0,462.74
2026/07/16 08:58:51.612,3521,97871,0,132.06
2026/07/16 08:59:21.630,3521,97871,0,131.91
2026/07/16 08:59:51.656,3521,97871,0,214.35
2026/07/16 09:00:21.673,3520,97871,0,132.03
2026/07/16 09:00:51.700,3520,97871,0,131.68
2026/07/16 09:01:21.719,3520,97871,0,226.29
2026/07/16 09:01:51.742,3520,97871,0,131.87
2026/07/16 09:02:21.765,3520,97871,0,132.03
2026/07/16 09:02:51.789,3520,97871,0,135.00
2026/07/16 09:03:21.808,3520,97871,100,299.11
2026/07/16 09:03:51.833,3520,97871,37,237.21
2026/07/16 09:04:21.854,3520,97871,100,515.33
2026/07/16 09:04:51.888,3520,97871,100,214.63
2026/07/16 09:05:21.908,3520,97871,0,132.04
2026/07/16 09:05:51.929,3520,97871,0,133.91
2026/07/16 09:06:21.947,3520,97871,0,131.93
2026/07/16 09:06:51.966,3520,97871,0,131.34
2026/07/16 09:07:21.985,3520,97871,0,132.27
2026/07/16 09:07:52.008,3520,97871,0,220.17
2026/07/16 09:08:22.026,3520,97871,100,517.11
2026/07/16 09:08:52.049,3520,97871,0,132.96
2026/07/16 09:09:22.067,3520,97871,100,423.40
2026/07/16 09:09:52.089,3520,97871,0,355.65
2026/07/16 09:10:22.107,3520,97871,0,523.55
2026/07/16 09:10:52.127,3520,97871,0,132.42
2026/07/16 09:11:22.144,3520,97871,0,132.46
2026/07/16 09:11:52.167,3520,97871,0,132.95
2026/07/16 09:12:22.185,3520,97871,0,131.77
2026/07/16 09:12:52.210,3520,97871,0,133.93
2026/07/16 09:13:22.230,3520,97871,0,132.60
2026/07/16 09:13:52.257,3520,97871,43,521.38
2026/07/16 09:14:22.282,3520,97871,100,273.61
2026/07/16 09:14:52.304,3520,97871,0,132.35
2026/07/16 09:15:22.322,3520,97871,0,131.90
2026/07/16 09:15:52.348,3520,97871,0,131.42
2026/07/16 09:16:22.368,3520,97871,0,131.52
2026/07/16 09:16:52.390,3520,97871,0,133.53
2026/07/16 09:17:22.407,3520,97871,0,131.52
2026/07/16 09:17:52.428,3520,97871,0,133.50
