timestamp,mem_used_mib,mem_total_mib,util_pct,power_w
2026/07/11 09:38:17.963,2,97871,0,91.33
2026/07/11 09:38:47.985,2,97871,0,91.08
2026/07/11 09:39:18.002,2,97871,0,91.52
2026/07/11 09:39:48.021,0,97871,0,91.65
2026/07/11 09:40:18.037,3,97871,0,91.72
2026/07/11 09:40:48.055,2682,97871,0,141.05
2026/07/11 09:41:18.070,2682,97871,0,142.03
2026/07/11 09:41:48.091,14186,97871,0,142.81
2026/07/11 09:42:18.112,14306,97871,0,143.04
2026/07/11 09:42:48.157,15137,97871,0,143.51
2026/07/11 09:43:18.172,22508,97871,4,143.65
2026/07/11 09:43:48.191,26525,97871,4,143.64
2026/07/11 09:44:18.206,26521,97871,4,144.51
2026/07/11 09:44:48.226,36652,97871,0,195.38
2026/07/11 09:45:18.241,50612,97871,100,539.03
2026/07/11 09:45:48.260,50610,97871,100,646.43
2026/07/11 09:46:18.275,50608,97871,100,613.64
2026/07/11 09:46:48.294,60727,97871,95,797.45
2026/07/11 09:47:18.312,60725,97871,100,767.07
2026/07/11 09:47:48.334,60723,97871,100,804.25
2026/07/11 09:48:18.349,60723,97871,97,487.46
2026/07/11 09:48:48.368,96921,97871,0,161.55
2026/07/11 09:49:18.384,96918,97871,0,150.87
2026/07/11 09:49:48.403,96917,97871,0,149.62
2026/07/11 09:50:18.419,96916,97871,0,147.60
2026/07/11 09:50:48.437,96915,97871,0,145.54
2026/07/11 09:51:18.453,96914,97871,0,145.05
2026/07/11 09:51:48.472,543,97871,0,109.49
2026/07/11 09:52:18.490,539,97871,0,94.93
2026/07/11 09:52:48.509,540,97871,0,95.22
2026/07/11 09:53:18.525,539,97871,0,94.84
2026/07/11 09:53:48.543,538,97871,0,93.55
2026/07/11 09:54:18.559,538,97871,0,93.35
2026/07/11 09:54:48.578,538,97871,0,92.95
2026/07/11 09:55:18.594,537,97871,0,92.87
2026/07/11 09:55:48.612,537,97871,0,93.33
2026/07/11 09:56:18.629,537,97871,0,92.61
2026/07/11 09:56:48.652,537,97871,0,92.66
2026/07/11 09:57:18.669,537,97871,0,92.52
2026/07/11 09:57:48.688,537,97871,0,92.54
2026/07/11 09:58:18.704,537,97871,0,92.45
2026/07/11 09:58:48.723,537,97871,0,92.53
2026/07/11 09:59:18.740,537,97871,0,92.53
2026/07/11 09:59:48.759,537,97871,0,93.16
2026/07/11 10:00:18.775,536,97871,0,92.67
2026/07/11 10:00:48.794,536,97871,0,92.72
2026/07/11 10:01:18.810,536,97871,0,92.28
2026/07/11 10:01:48.828,536,97871,0,91.96
2026/07/11 10:02:18.844,536,97871,0,92.47
2026/07/11 10:02:48.862,535,97871,0,92.50
2026/07/11 10:03:18.878,535,97871,0,92.29
2026/07/11 10:03:48.895,535,97871,0,91.98
2026/07/11 10:04:18.911,3215,97871,0,142.69
2026/07/11 10:04:48.928,3215,97871,0,142.73
2026/07/11 10:05:18.943,14819,97871,0,143.08
2026/07/11 10:05:48.965,15366,97871,1,143.87
2026/07/11 10:06:18.992,15436,97871,0,145.42
2026/07/11 10:06:49.012,24252,97871,4,144.39
2026/07/11 10:07:19.026,24248,97871,4,144.23
2026/07/11 10:07:49.048,29671,97871,100,147.26
2026/07/11 10:08:19.064,32582,97871,0,144.47
