timestamp,mem_used_mib,mem_total_mib,util_pct,power_w
2026/07/19 21:59:18.212,2,97871,0,82.68
2026/07/19 21:59:48.236,0,97871,0,81.88
2026/07/19 22:00:18.252,0,97871,0,82.05
2026/07/19 22:00:48.272,3,97871,0,81.80
2026/07/19 22:01:18.288,3,97871,0,81.49
2026/07/19 22:01:48.307,2682,97871,0,127.25
2026/07/19 22:02:18.322,2682,97871,0,127.75
2026/07/19 22:02:48.346,14426,97871,0,128.12
2026/07/19 22:03:18.360,14426,97871,1,127.95
2026/07/19 22:03:48.385,15297,97871,0,127.95
2026/07/19 22:04:18.405,25366,97871,4,130.03
2026/07/19 22:04:48.426,25363,97871,4,127.80
2026/07/19 22:05:18.442,25359,97871,4,127.82
2026/07/19 22:05:48.466,31308,97871,0,127.75
2026/07/19 22:06:18.480,39899,97871,0,127.77
2026/07/19 22:06:48.497,40895,97871,100,600.46
2026/07/19 22:07:18.516,51079,97871,100,794.14
2026/07/19 22:07:48.532,51075,97871,100,787.24
2026/07/19 22:08:18.554,51072,97871,100,778.30
2026/07/19 22:08:48.572,51068,97871,100,793.70
2026/07/19 22:09:18.591,51063,97871,100,815.12
2026/07/19 22:09:48.609,51059,97871,100,594.67
2026/07/19 22:10:18.629,51054,97871,100,654.02
2026/07/19 22:10:48.647,51049,97871,100,788.97
2026/07/19 22:11:18.666,51045,97871,100,787.52
2026/07/19 22:11:48.684,51040,97871,100,790.23
2026/07/19 22:12:18.704,51036,97871,100,793.16
2026/07/19 22:12:48.723,51031,97871,100,791.43
2026/07/19 22:13:18.758,51027,97871,100,762.26
2026/07/19 22:13:48.776,51022,97871,100,791.00
2026/07/19 22:14:18.795,51018,97871,100,791.10
2026/07/19 22:14:48.814,51013,97871,100,594.21
2026/07/19 22:15:18.833,51009,97871,89,575.96
2026/07/19 22:15:48.852,51005,97871,100,785.84
2026/07/19 22:16:18.870,51001,97871,100,791.08
2026/07/19 22:16:48.888,50997,97871,100,792.32
2026/07/19 22:17:18.909,50993,97871,100,790.26
2026/07/19 22:17:48.929,50990,97871,100,790.56
2026/07/19 22:18:18.948,50986,97871,100,783.71
2026/07/19 22:18:48.969,50982,97871,100,841.81
2026/07/19 22:19:18.987,50979,97871,100,603.30
2026/07/19 22:19:49.005,50975,97871,100,581.40
2026/07/19 22:20:19.023,50973,97871,100,761.89
2026/07/19 22:20:49.040,50973,97871,100,783.92
2026/07/19 22:21:19.061,50972,97871,100,781.94
2026/07/19 22:21:49.083,50972,97871,100,787.30
2026/07/19 22:22:19.101,50972,97871,100,791.00
2026/07/19 22:22:49.120,50971,97871,100,770.59
2026/07/19 22:23:19.141,50971,97871,100,787.22
2026/07/19 22:23:49.160,50970,97871,100,798.88
2026/07/19 22:24:19.179,51515,97871,4,138.61
2026/07/19 22:24:49.196,42682,97871,100,818.09
2026/07/19 22:25:19.213,42762,97871,100,808.70
2026/07/19 22:25:49.231,42721,97871,100,813.90
2026/07/19 22:26:19.250,42761,97871,100,812.48
2026/07/19 22:26:49.267,43960,97871,100,797.53
2026/07/19 22:27:19.285,43960,97871,100,811.15
2026/07/19 22:27:49.302,43960,97871,100,818.06
2026/07/19 22:28:19.320,51249,97871,100,781.22
2026/07/19 22:28:49.336,51249,97871,100,793.49
2026/07/19 22:29:19.355,51248,97871,53,603.29
2026/07/19 22:29:49.373,51248,97871,3,201.95
2026/07/19 22:30:19.429,51248,97871,99,346.83
2026/07/19 22:30:49.446,51247,97871,100,686.99
2026/07/19 22:31:19.465,51246,97871,96,797.05
2026/07/19 22:31:49.482,51246,97871,100,781.45
2026/07/19 22:32:19.500,51246,97871,100,782.37
2026/07/19 22:32:49.519,51245,97871,100,792.36
2026/07/19 22:33:19.541,51245,97871,100,798.47
2026/07/19 22:33:49.560,50733,97871,100,792.48
2026/07/19 22:34:19.580,50732,97871,100,781.31
2026/07/19 22:34:49.598,50731,97871,100,782.53
2026/07/19 22:35:19.616,50730,97871,3,503.73
2026/07/19 22:35:49.635,50729,97871,100,344.47
2026/07/19 22:36:19.656,50728,97871,100,818.17
2026/07/19 22:36:49.674,50727,97871,100,778.05
2026/07/19 22:37:19.693,50726,97871,100,787.08
2026/07/19 22:37:49.711,50725,97871,100,780.54
2026/07/19 22:38:19.731,50724,97871,100,787.38
2026/07/19 22:38:49.749,50723,97871,3,492.84
2026/07/19 22:39:19.773,50722,97871,100,325.67
2026/07/19 22:39:49.791,50721,97871,100,838.48
2026/07/19 22:40:19.810,50721,97871,100,770.21
2026/07/19 22:40:49.829,50720,97871,100,789.10
2026/07/19 22:41:19.848,50720,97871,100,779.91
2026/07/19 22:41:49.865,50719,97871,100,790.76
