timestamp,mem_used_mib,mem_total_mib,util_pct,power_w
2026/07/11 04:01:10.601,4,97871,0,67.92
2026/07/11 04:01:40.421,4,97871,0,67.46
2026/07/11 04:01:40.651,4,97871,0,67.45
2026/07/11 04:02:10.438,4,97871,0,67.15
2026/07/11 04:02:10.665,4,97871,0,67.23
2026/07/11 04:02:40.462,4,97871,0,66.37
2026/07/11 04:02:40.685,4,97871,0,66.47
2026/07/11 04:03:10.478,4,97871,0,66.32
2026/07/11 04:03:10.699,4,97871,0,66.35
2026/07/11 04:03:40.498,4,97871,0,67.32
2026/07/11 04:03:40.751,4,97871,0,67.28
2026/07/11 04:04:10.513,4,97871,0,67.17
2026/07/11 04:04:10.765,4,97871,0,67.14
2026/07/11 04:04:40.533,4,97871,0,67.39
2026/07/11 04:04:40.784,4,97871,0,67.35
2026/07/11 04:05:10.549,4,97871,0,67.11
2026/07/11 04:05:10.798,4,97871,0,67.15
2026/07/11 04:05:40.572,3,97871,0,67.23
2026/07/11 04:05:40.816,3,97871,0,67.22
2026/07/11 04:06:10.588,3,97871,0,67.40
2026/07/11 04:06:10.830,3,97871,0,67.37
2026/07/11 04:06:40.608,3301,97871,0,112.36
2026/07/11 04:06:40.844,3301,97871,0,112.27
2026/07/11 04:07:10.625,3890,97871,0,112.26
2026/07/11 04:07:10.862,3890,97871,0,112.29
2026/07/11 04:07:40.645,18172,97871,0,132.32
2026/07/11 04:07:40.875,18172,97871,0,115.96
2026/07/11 04:08:10.660,20646,97871,100,824.45
2026/07/11 04:08:10.889,20646,97871,100,848.64
2026/07/11 04:08:40.681,26192,97871,100,823.02
2026/07/11 04:08:40.904,26192,97871,100,827.87
2026/07/11 04:09:10.701,26192,97871,100,825.22
2026/07/11 04:09:10.918,26192,97871,100,826.58
2026/07/11 04:09:40.723,27480,97871,100,845.51
2026/07/11 04:09:40.932,27480,97871,100,836.94
2026/07/11 04:10:10.741,27480,97871,81,823.05
2026/07/11 04:10:10.945,27480,97871,100,820.97
2026/07/11 04:10:40.760,27480,97871,100,845.93
2026/07/11 04:10:40.963,27480,97871,100,844.68
2026/07/11 04:11:10.781,27520,97871,100,831.92
2026/07/11 04:11:10.978,27520,97871,100,828.89
2026/07/11 04:11:40.800,27520,97871,100,839.68
2026/07/11 04:11:40.992,27520,97871,100,836.68
2026/07/11 04:12:10.818,27520,97871,100,825.45
2026/07/11 04:12:11.007,27520,97871,100,824.75
2026/07/11 04:12:40.838,27520,97871,100,823.22
2026/07/11 04:12:41.022,27520,97871,100,844.73
2026/07/11 04:13:10.857,27520,97871,100,822.06
2026/07/11 04:13:11.036,27520,97871,100,820.67
2026/07/11 04:13:40.874,27520,97871,0,559.82
2026/07/11 04:13:41.051,27520,97871,100,558.15
2026/07/11 04:14:10.894,27520,97871,100,836.88
2026/07/11 04:14:11.065,27520,97871,78,823.68
2026/07/11 04:14:40.913,27520,97871,99,820.80
2026/07/11 04:14:41.079,27520,97871,100,836.54
2026/07/11 04:15:10.932,27520,97871,100,842.44
2026/07/11 04:15:11.093,27520,97871,100,842.84
2026/07/11 04:15:40.951,27520,97871,100,825.06
2026/07/11 04:15:41.107,27520,97871,99,819.65
2026/07/11 04:16:10.973,27520,97871,100,685.43
2026/07/11 04:16:11.121,27520,97871,100,680.32
2026/07/11 04:16:40.991,27520,97871,100,825.36
2026/07/11 04:16:41.135,27520,97871,100,826.57
2026/07/11 04:17:11.009,27520,97871,100,841.93
2026/07/11 04:17:11.149,27520,97871,100,841.57
2026/07/11 04:17:41.028,27520,97871,100,837.67
2026/07/11 04:17:41.164,27520,97871,90,820.20
2026/07/11 04:18:11.049,27520,97871,100,825.91
2026/07/11 04:18:11.178,27520,97871,100,825.66
2026/07/11 04:18:41.067,27520,97871,100,827.75
2026/07/11 04:18:41.193,27520,97871,100,845.44
2026/07/11 04:19:11.088,27520,97871,89,824.94
2026/07/11 04:19:11.207,27520,97871,100,826.62
2026/07/11 04:19:41.107,27520,97871,99,831.71
2026/07/11 04:19:41.221,27520,97871,100,830.60
2026/07/11 04:20:11.127,27520,97871,100,843.40
2026/07/11 04:20:11.235,27520,97871,100,842.33
2026/07/11 04:20:41.144,27520,97871,100,824.61
2026/07/11 04:20:41.249,27520,97871,100,826.86
2026/07/11 04:21:11.164,27520,97871,100,819.45
2026/07/11 04:21:11.263,27520,97871,100,819.86
2026/07/11 04:21:41.183,27520,97871,100,841.02
2026/07/11 04:21:41.277,27520,97871,100,840.75
2026/07/11 04:22:11.203,27520,97871,100,688.51
2026/07/11 04:22:11.291,27520,97871,100,688.51
2026/07/11 04:22:41.222,27520,97871,100,833.58
2026/07/11 04:22:41.305,27520,97871,100,833.58
2026/07/11 04:23:11.242,27520,97871,0,116.53
2026/07/11 04:23:11.321,27520,97871,0,116.49
2026/07/11 04:23:41.262,27520,97871,74,827.19
2026/07/11 04:23:41.335,27520,97871,74,828.84
2026/07/11 04:24:11.282,27520,97871,100,843.62
2026/07/11 04:24:11.349,27520,97871,100,841.57
2026/07/11 04:24:41.302,27520,97871,100,840.98
2026/07/11 04:24:41.363,27520,97871,100,824.20
2026/07/11 04:25:11.322,27520,97871,100,826.04
2026/07/11 04:25:11.377,27520,97871,100,841.93
2026/07/11 04:25:41.342,27520,97871,100,684.94
2026/07/11 04:25:41.391,27520,97871,100,686.69
2026/07/11 04:26:11.364,27520,97871,100,820.79
2026/07/11 04:26:11.406,27520,97871,100,821.00
2026/07/11 04:26:41.383,27520,97871,81,826.09
2026/07/11 04:26:41.420,27520,97871,81,828.60
2026/07/11 04:27:11.405,27520,97871,100,826.49
2026/07/11 04:27:11.434,27520,97871,100,826.49
2026/07/11 04:27:41.424,27520,97871,100,838.54
2026/07/11 04:27:41.448,27520,97871,100,838.54
2026/07/11 04:28:11.444,27520,97871,100,825.05
2026/07/11 04:28:11.462,27520,97871,100,825.05
2026/07/11 04:28:41.463,27520,97871,99,836.85
2026/07/11 04:28:41.476,27520,97871,99,836.85
2026/07/11 04:29:11.484,27520,97871,100,834.34
2026/07/11 04:29:11.489,27520,97871,100,834.34
2026/07/11 04:29:41.503,27520,97871,100,824.17
2026/07/11 04:29:41.505,27520,97871,100,824.17
2026/07/11 04:30:11.525,27520,97871,100,840.73
2026/07/11 04:30:11.526,27520,97871,100,840.73
2026/07/11 04:30:41.547,27520,97871,93,817.28
2026/07/11 04:30:41.548,27520,97871,93,817.28
2026/07/11 04:31:11.568,27520,97871,99,827.96
2026/07/11 04:31:11.568,27520,97871,99,827.96
2026/07/11 04:31:41.589,27520,97871,74,515.84
2026/07/11 04:31:41.590,27520,97871,74,515.84
2026/07/11 04:32:11.611,27520,97871,100,827.92
2026/07/11 04:32:11.612,27520,97871,100,827.92
2026/07/11 04:32:41.634,27520,97871,100,832.24
2026/07/11 04:32:41.635,27520,97871,100,832.24
2026/07/11 04:33:11.655,27520,97871,100,827.51
2026/07/11 04:33:11.655,27520,97871,100,827.51
2026/07/11 04:33:41.675,27520,97871,100,839.77
2026/07/11 04:33:41.676,27520,97871,100,839.77
2026/07/11 04:34:11.697,27520,97871,100,686.15
2026/07/11 04:34:11.698,27520,97871,100,686.15
2026/07/11 04:34:41.720,27520,97871,100,825.23
2026/07/11 04:34:41.721,27520,97871,100,825.23
2026/07/11 04:35:11.741,27520,97871,100,838.45
2026/07/11 04:35:11.742,27520,97871,100,838.45
2026/07/11 04:35:41.762,27520,97871,100,842.08
2026/07/11 04:35:41.763,27520,97871,100,842.08
2026/07/11 04:36:11.784,27520,97871,100,826.08
2026/07/11 04:36:11.785,27520,97871,100,826.08
2026/07/11 04:36:41.803,27520,97871,100,827.63
2026/07/11 04:36:41.805,27520,97871,100,827.63
2026/07/11 04:37:11.825,27520,97871,100,835.56
2026/07/11 04:37:11.826,27520,97871,100,835.56
2026/07/11 04:37:41.849,27520,97871,100,832.80
2026/07/11 04:37:41.850,27520,97871,100,832.80
2026/07/11 04:38:11.871,27520,97871,100,837.96
2026/07/11 04:38:11.872,27520,97871,100,837.96
2026/07/11 04:38:41.892,27520,97871,100,840.87
2026/07/11 04:38:41.892,27520,97871,100,840.87
2026/07/11 04:39:11.913,27520,97871,100,840.13
2026/07/11 04:39:11.914,27520,97871,100,840.13
2026/07/11 04:39:41.934,27520,97871,99,826.98
2026/07/11 04:39:41.934,27520,97871,99,826.98
2026/07/11 04:40:11.956,27520,97871,100,843.60
2026/07/11 04:40:11.956,27520,97871,100,843.60
2026/07/11 04:40:41.977,27520,97871,100,829.15
2026/07/11 04:40:41.977,27520,97871,100,826.08
2026/07/11 04:41:11.999,27520,97871,96,827.89
2026/07/11 04:41:12.000,27520,97871,96,827.89
2026/07/11 04:41:42.019,27520,97871,100,822.97
2026/07/11 04:41:42.020,27520,97871,100,822.97
2026/07/11 04:42:12.042,27520,97871,100,843.21
2026/07/11 04:42:12.042,27520,97871,100,843.21
2026/07/11 04:42:42.063,27520,97871,89,822.82
2026/07/11 04:42:42.064,27520,97871,89,822.82
2026/07/11 04:43:12.086,27520,97871,99,824.15
2026/07/11 04:43:12.087,27520,97871,99,824.15
2026/07/11 04:43:42.108,27520,97871,100,689.97
2026/07/11 04:43:42.108,27520,97871,100,689.97
2026/07/11 04:44:12.130,27520,97871,100,825.30
2026/07/11 04:44:12.131,27520,97871,100,825.30
2026/07/11 04:44:42.151,27520,97871,100,839.38
2026/07/11 04:44:42.152,27520,97871,100,839.38
2026/07/11 04:45:12.172,27520,97871,100,833.84
2026/07/11 04:45:12.174,27520,97871,100,833.84
2026/07/11 04:45:42.198,27520,97871,100,825.16
2026/07/11 04:45:42.198,27520,97871,100,825.16
2026/07/11 04:46:12.223,27520,97871,100,841.54
2026/07/11 04:46:12.224,27520,97871,100,841.54
2026/07/11 04:46:42.242,27520,97871,100,825.61
2026/07/11 04:46:42.242,27520,97871,100,825.61
2026/07/11 04:47:12.264,27520,97871,100,840.66
2026/07/11 04:47:12.264,27520,97871,100,840.66
2026/07/11 04:47:42.286,27520,97871,100,831.01
2026/07/11 04:47:42.287,27520,97871,100,831.01
2026/07/11 04:48:12.306,27520,97871,100,825.70
2026/07/11 04:48:12.307,27520,97871,100,825.70
2026/07/11 04:48:42.327,27520,97871,100,841.36
2026/07/11 04:48:42.328,27520,97871,100,841.36
2026/07/11 04:49:12.348,27520,97871,100,821.04
2026/07/11 04:49:12.348,27520,97871,100,821.04
2026/07/11 04:49:42.369,27520,97871,100,840.26
2026/07/11 04:49:42.369,27520,97871,100,840.26
2026/07/11 04:50:12.391,27520,97871,100,846.57
2026/07/11 04:50:12.392,27520,97871,100,846.57
